1	2	0.0035	0.0411	0.34935	0	0	1;
1	39	0.001	0.025	0.375	0	0	1;
2	3	0.0013	0.0151	0.1286	0	0	1;
2	25	0.007	0.0086	0.073	0	0	1;
2	30	0	0.0181	0	1.025	0	1;
3	4	0.0013	0.0213	0.1107	0	0	1;
3	18	0.0011	0.0133	0.1069	0	0	1;
4	5	0.0008	0.0128	0.0671	0	0	1;
4	14	0.0008	0.0129	0.0691	0	0	1;
5	6	0.0002	0.0026	0.0217	0	0	1;
5	8	0.0008	0.0112	0.0738	0	0	1;
6	7	0.0006	0.0092	0.0565	0	0	1;
6	11	0.0007	0.0082	0.06945	0	0	1;
6	31	0	0.025	0	1.07	0	1;
7	8	0.0004	0.0046	0.039	0	0	1;
8	9	0.0023	0.0363	0.1902	0	0	1;
9	39	0.001	0.025	0.6	0	0	1;
10	11	0.0004	0.0043	0.03645	0	0	1;
10	13	0.0004	0.0043	0.03645	0	0	1;
10	32	0	0.02	0	1.07	0	1;
12	11	0.0016	0.0435	0	1.006	0	1;
12	13	0.0016	0.0435	0	1.006	0	1;
13	14	0.0009	0.0101	0.08615	0	0	1;
14	15	0.0018	0.0217	0.183	0	0	1;
15	16	0.0009	0.0094	0.0855	0	0	1;
16	17	0.0007	0.0089	0.0671	0	0	1;
16	19	0.0016	0.0195	0.152	0	0	1;
16	21	0.0008	0.0135	0.1274	0	0	1;
16	24	0.0003	0.0059	0.034	0	0	1;
17	18	0.0007	0.0082	0.06595	0	0	1;
17	27	0.0013	0.0173	0.1608	0	0	1;
19	20	0.0007	0.0138	0	1.06	0	1;
19	33	0.0007	0.0142	0	1.07	0	1;
20	34	0.0009	0.018	0	1.009	0	1;
21	22	0.0008	0.014	0.12825	0	0	1;
22	23	0.0006	0.0096	0.0923	0	0	1;
22	35	0	0.0143	0	1.025	0	1;
23	24	0.0022	0.035	0.1805	0	0	1;
23	36	0.0005	0.0272	0	1	0	1;
25	26	0.0032	0.0323	0.2655	0	0	1;
25	37	0.0006	0.0232	0	1.025	0	1;
26	27	0.0014	0.0147	0.1198	0	0	1;
26	28	0.0043	0.0474	0.3901	0	0	1;
26	29	0.0057	0.0625	0.5145	0	0	1;
28	29	0.0014	0.0151	0.1245	0	0	1;
29	38	0.0008	0.0156	0	1.025	0	1;
