1	3	0	0	0	0	1.060	0	100	1.1	0.9;
2	2	21.70	12.70	0	0	1.045	0	100	1.1	0.9;
3	2	94.20	19.00	0	0	1.010	0	100	1.1	0.9;
4	1	47.80	-3.90	0	0	1.012	0	100	1.1	0.9;
5	1	7.600	1.600	0	0	1	0	100	1.1	0.9;
6	2	11.20	7.500	0	0	1.070	0	100	1.1	0.9;
7	1	0	0	0	0	1	0	100	1.1	0.9;
8	2	0	0	0	0	1.090	0	100	1.1	0.9;
9	1	29.50	16.60	0	19	1	0	100	1.1	0.9;
10	1	9.000	5.800	0	0	1	0	100	1.1	0.9;
11	1	3.500	1.800	0	0	1	0	100	1.1	0.9;
12	1	6.100	1.600	0	0	1	0	100	1.1	0.9;
13	1	13.50	5.800	0	0	1	0	100	1.1	0.9;
14	1	14.90	5.000	0	0	1	0	100	1.1	0.9;
